FFP_TIER,FLIGHT_COUNT,LAST_TO_END,EXCHANGE_COUNT,SEG_KM_SUM,Points_Sum,age,ffp_year
5,60,11,0,106278,125738,47.0,2008
6,110,4,8,166843,148129,44.0,2005
6,15,179,0,183480,113656,40.0,2010
6,67,2,0,119347,134417,47.0,2005
6,51,1,3,99034,136638,39.0,2010
6,74,69,5,96520,137008,55.0,2010
6,12,27,0,121632,152324,51.0,2010
5,59,6,10,85171,121759,47.0,2009
6,120,18,12,176951,144381,36.0,2009
6,60,3,16,88428,138499,49.0,2008
6,57,1,0,90553,148181,57.0,2006
5,43,57,0,195034,105421,54.0,2011
6,113,2,3,151060,154907,47.0,2008
5,42,23,0,165589,97974,49.0,2005
6,58,16,3,94554,133792,46.0,2005
4,16,30,0,184227,122503,48.0,2005
6,122,18,11,180074,130785,64.0,2004
6,72,6,5,91164,140265,47.0,2005
6,113,10,2,121394,204327,63.0,2009
6,77,2,3,157206,148513,49.0,2005
5,57,10,0,91658,136156,44.0,2008
5,16,13,1,115401,144812,66.0,2012
6,77,9,13,151637,176266,38.0,2009
6,88,3,3,117157,145486,38.0,2005
5,13,51,4,137604,142824,45.0,2007
6,124,3,0,113615,130909,68.0,2005
6,69,31,5,147549,133546,65.0,2005
6,66,1,2,86430,140439,60.0,2008
5,26,102,1,178921,107965,56.0,2010
6,59,4,5,94946,148754,40.0,2009
6,125,1,2,189177,116402,48.0,2007
5,97,11,4,171544,108829,33.0,2009
5,57,3,0,144505,122962,36.0,2006
6,64,5,10,262290,122797,27.0,2011
6,49,114,0,88903,127447,60.0,2004
6,58,2,3,84353,136439,56.0,2007
6,136,5,9,145540,138865,42.0,2005
5,68,4,0,148879,106281,34.0,2010
5,71,4,2,180226,128372,47.0,2008
6,116,16,6,130636,115574,55.0,2006
6,110,1,1,172640,134862,53.0,2007
5,105,12,9,145253,128699,32.0,2008
6,52,21,1,83356,122727,62.0,2009
6,106,3,7,167199,110162,53.0,2005
6,11,178,1,112128,159477,40.0,2005
6,59,13,8,92635,124552,44.0,2010
5,59,18,3,145433,162643,53.0,2007
6,83,26,2,94441,142357,44.0,2006
4,10,317,6,122320,140743,30.0,2012
6,116,1,0,136228,142040,39.0,2008
6,95,2,10,138873,158027,36.0,2005
6,79,6,0,151183,126562,47.0,2011
6,76,7,0,86061,124745,55.0,2006
6,100,1,9,91727,124736,56.0,2007
6,107,1,8,165304,112666,37.0,2004
4,25,290,4,109336,139361,66.0,2006
6,114,13,2,151625,118690,38.0,2008
5,57,9,5,84080,120635,47.0,2010
6,76,22,6,119514,122265,38.0,2007
6,11,99,0,111496,145681,41.0,2012
5,43,30,0,94144,113209,53.0,2006
5,20,22,0,148827,98590,38.0,2011
6,53,32,0,85000,132653,46.0,2007
6,56,4,14,82981,134430,41.0,2005
6,84,2,4,140535,124270,50.0,2011
6,111,6,7,141864,131026,37.0,2008
6,109,18,3,126167,127254,35.0,2011
5,60,5,11,98083,114233,44.0,2006
5,61,3,2,161499,118004,41.0,2010
6,43,9,0,93447,139674,55.0,2008
6,149,5,7,157683,128224,40.0,2006
6,43,4,1,111807,114036,43.0,2010
4,56,83,3,114358,121166,54.0,2010
6,94,3,3,109142,121796,51.0,2005
6,84,13,5,139338,118260,50.0,2005
5,16,9,0,107047,128940,47.0,2012
6,128,17,12,131315,133895,44.0,2006
6,124,2,11,130776,111357,39.0,2006
6,111,4,4,130622,115155,47.0,2011
6,77,1,8,134838,122278,45.0,2009
5,42,22,5,77936,112088,57.0,2006
6,124,1,2,160524,110203,42.0,2009
5,19,6,8,96503,136674,46.0,2011
4,53,45,8,134627,127389,48.0,2010
6,61,1,2,83245,119626,46.0,2011
6,17,1,2,105377,159060,61.0,2009
6,48,4,3,119036,160863,52.0,2011
6,26,22,0,94249,133391,66.0,2006
6,43,31,5,79426,118207,67.0,2006
4,87,61,3,115134,125094,37.0,2009
6,114,1,8,124499,127374,44.0,2010
6,54,20,2,75651,112327,41.0,2010
5,68,20,10,163454,114009,35.0,2009
6,112,6,3,134757,116267,41.0,2007
5,73,13,1,163958,121394,47.0,2008
6,49,38,2,80641,109619,47.0,2007
5,40,2,5,127004,150496,63.0,2012
6,82,5,0,135413,116936,40.0,2005
6,154,1,6,129582,132891,42.0,2009
5,58,13,2,145294,154953,44.0,2005
5,52,2,1,97731,108555,50.0,2008
6,43,8,2,78765,120960,61.0,2010
6,105,4,1,138593,136997,35.0,2009
6,97,4,4,116461,114037,51.0,2006
6,17,112,5,121870,137804,49.0,2010
4,32,59,0,77106,108091,62.0,2010
5,37,5,8,119320,154506,40.0,2010
5,86,5,4,159612,96122,44.0,2006
6,62,13,0,139995,93217,60.0,2012
5,67,11,0,127081,120524,49.0,2010
6,84,8,8,129836,115208,39.0,2006
6,117,8,2,132853,135113,45.0,2009
6,122,2,8,129272,128331,48.0,2009
5,87,24,1,131029,129028,41.0,2006
6,73,2,17,75413,109357,51.0,2009
6,97,8,6,113939,109559,43.0,2005
5,93,5,4,150612,106081,40.0,2010
6,83,8,6,134621,195726,49.0,2010
6,105,11,2,145865,123198,45.0,2010
5,27,56,0,164336,82693,40.0,2007
5,24,31,0,110964,120352,41.0,2005
6,137,2,6,122439,131242,53.0,2006
6,57,22,0,90144,116260,55.0,2012
5,50,7,12,89115,253332,44.0,2009
4,45,8,0,139898,108694,46.0,2011
6,109,1,4,122024,109570,38.0,2011
6,46,18,0,80830,105241,44.0,2009
6,77,17,11,139876,190868,38.0,2008
6,60,5,3,154736,125963,45.0,2006
6,66,6,1,151383,111918,57.0,2012
5,77,4,3,144030,104047,38.0,2007
6,77,16,4,80208,125917,46.0,2006
6,28,13,0,77108,104698,47.0,2010
4,34,113,3,143761,103589,48.0,2011
5,62,9,0,141413,130961,48.0,2007
6,53,34,0,73717,110170,44.0,2010
6,37,4,0,72741,110980,41.0,2011
5,94,65,0,126174,107518,37.0,2007
6,48,10,4,74411,113717,53.0,2007
6,52,5,0,73647,108415,40.0,2010
5,52,1,0,135689,118323,46.0,2011
5,59,33,4,127314,98386,40.0,2005
5,72,9,2,149171,103324,48.0,2008
5,47,13,10,76753,107098,47.0,2008
6,107,9,6,169750,83578,43.0,2004
6,96,23,9,136246,102555,37.0,2011
5,132,5,2,151273,102474,55.0,2012
6,168,2,5,130985,135829,46.0,2011
5,49,17,0,125237,125667,35.0,2011
4,12,136,4,103960,134703,0.0,2004
4,36,13,7,109695,179174,46.0,2006
6,21,77,1,137610,107759,41.0,2006
5,60,24,0,137654,92496,35.0,2009
6,84,33,0,117382,113250,37.0,2004
6,59,7,0,97219,103737,45.0,2006
6,118,1,4,139566,125292,36.0,2006
6,49,27,0,78417,107578,36.0,2008
5,74,4,0,113789,107945,54.0,2012
5,64,7,2,139827,102891,36.0,2011
6,47,19,2,71121,98729,51.0,2007
6,46,1,7,71012,108871,66.0,2006
6,115,7,2,115562,111679,37.0,2007
5,28,13,0,72232,108013,51.0,2010
5,12,351,4,100421,128179,45.0,2010
5,65,8,3,93221,101636,54.0,2006
6,24,66,0,183418,118071,46.0,2009
5,50,4,0,135574,95632,38.0,2008
6,98,5,2,141053,108302,37.0,2007
5,46,1,5,73338,106539,62.0,2005
4,61,17,2,114031,110505,43.0,2009
4,28,84,0,82659,109303,41.0,2011
5,28,68,6,73852,95409,57.0,2012
4,17,15,2,104641,130467,61.0,2012
6,51,1,0,72274,103673,57.0,2006
6,85,16,0,104969,117399,46.0,2008
6,128,2,0,147767,105816,39.0,2006
4,23,14,0,157186,78330,48.0,2012
5,78,2,4,121231,105849,47.0,2008
5,67,1,8,135439,105531,35.0,2009
6,96,1,2,131739,101689,52.0,2005
5,118,20,1,143796,102158,46.0,2011
4,86,48,4,128754,99179,34.0,2012
5,36,5,0,124032,118753,38.0,2012
5,10,83,9,99312,122889,48.0,2009
6,34,1,0,70486,97520,38.0,2006
5,23,2,0,74910,92357,45.0,2006
5,76,5,3,138952,102498,36.0,2007
6,45,19,0,145724,83520,42.0,2009
6,111,18,4,145458,125285,46.0,2005
6,47,25,3,82382,108067,51.0,2006
6,84,1,6,75766,117216,50.0,2006
6,134,1,6,116627,118238,42.0,2005
5,46,3,1,130782,84156,34.0,2006
5,96,6,2,135009,106832,48.0,2004
5,16,94,3,107690,100193,42.0,2011
6,83,11,9,133367,109371,53.0,2005
6,93,3,2,109943,104952,48.0,2005
4,13,6,0,159016,83156,47.0,2011
5,36,2,4,113253,121007,63.0,2012
5,73,11,5,123568,137760,42.0,2006
6,98,1,0,76759,115510,58.0,2012
6,116,3,6,140571,102908,45.0,2006
6,61,17,0,81113,105272,59.0,2005
6,85,13,2,70965,113020,55.0,2010
5,48,10,0,68459,100927,60.0,2007
6,104,6,4,137698,105830,46.0,2007
6,57,12,0,84129,97939,50.0,2006
6,43,9,0,130985,95764,52.0,2006
6,101,12,0,117880,126073,44.0,2011
5,69,2,3,141164,88172,48.0,2007
6,71,5,0,70069,98417,51.0,2007
6,124,5,7,118049,168338,41.0,2009
6,86,18,0,89195,107630,39.0,2007
6,82,12,4,120536,145838,41.0,2007
6,122,1,5,137879,162307,43.0,2011
4,18,20,0,136876,72359,43.0,2012
6,39,22,0,70792,102422,45.0,2005
6,83,4,0,112709,132854,46.0,2010
6,81,1,10,99888,111475,50.0,2007
5,66,34,2,111545,115313,35.0,2008
5,46,41,0,71622,96427,41.0,2005
6,75,3,9,131146,93358,44.0,2007
5,69,79,2,126180,99429,47.0,2005
6,45,10,0,68136,102753,62.0,2009
6,36,4,2,66829,127594,69.0,2007
5,106,1,4,130691,108476,37.0,2004
5,64,19,3,66612,92831,61.0,2010
5,61,6,0,132797,52481,58.0,2011
5,67,1,0,123556,104692,40.0,2012
5,52,30,10,125190,93650,52.0,2006
4,21,13,0,138363,71545,53.0,2011
6,100,9,0,116315,100182,45.0,2011
6,119,1,9,100147,141476,52.0,2008
6,79,20,15,74503,108226,55.0,2005
6,101,4,14,118160,105795,32.0,2009
6,116,5,4,129478,104283,46.0,2005
5,42,85,3,74368,82194,46.0,2011
6,82,3,5,126149,91963,41.0,2005
6,96,11,2,134194,188675,39.0,2005
6,79,11,0,124218,100986,57.0,2008
6,133,4,14,143216,111094,40.0,2006
5,73,15,4,134897,92531,47.0,2009
4,58,1,2,122349,95493,41.0,2006
5,19,135,2,130168,92321,50.0,2008
6,62,1,1,76356,112509,47.0,2013
5,46,5,6,67761,88770,37.0,2007
6,38,16,2,66550,79591,52.0,2011
5,65,23,0,112320,103579,40.0,2010
6,15,13,0,99645,132586,40.0,2012
5,93,2,6,127824,98390,41.0,2010
4,13,6,1,147883,55824,55.0,2008
5,60,4,3,118514,101482,40.0,2007
5,93,2,1,117159,104959,53.0,2010
6,83,15,3,134851,110860,54.0,2011
4,44,16,0,108388,102118,49.0,2012
5,62,8,6,112125,104673,38.0,2005
6,89,2,5,78410,109160,46.0,2010
5,78,2,5,121245,103081,37.0,2005
6,39,26,5,70142,98748,47.0,2007
6,101,14,8,102834,126539,40.0,2009
5,44,17,0,65769,97082,49.0,2010
5,31,32,6,69453,101413,70.0,2009
6,75,7,3,122158,91473,60.0,2009
6,93,18,3,106705,103575,46.0,2007
5,54,20,10,71496,92332,58.0,2010
6,73,18,15,76834,92085,50.0,2005
6,70,2,2,98334,95256,47.0,2005
6,36,14,0,102876,83035,46.0,2008
6,45,5,4,67936,95681,54.0,2008
6,97,14,3,66431,98012,40.0,2008
4,107,10,5,132823,95974,54.0,2009
5,123,8,3,111589,116742,57.0,2008
5,38,29,1,67361,97064,45.0,2011
6,98,13,4,129338,98661,42.0,2007
5,33,7,0,65345,99217,53.0,2007
5,39,6,0,68043,92074,33.0,2008
6,72,8,0,73670,102737,44.0,2010
6,83,6,5,126476,103944,44.0,2010
5,66,4,8,121756,132389,39.0,2005
4,46,37,5,120983,112148,55.0,2008
6,65,9,7,102504,94407,39.0,2004
6,99,5,1,123899,93384,49.0,2007
5,54,4,0,64453,94769,50.0,2009
6,65,16,8,107397,118859,38.0,2007
4,27,243,1,100143,111691,41.0,2006
6,36,21,5,72186,90987,53.0,2009
6,61,20,0,71752,103704,28.0,2011
5,49,32,1,65717,93153,39.0,2006
6,46,3,7,71260,101654,56.0,2008
5,103,6,7,125149,95680,55.0,2008
6,52,73,1,76072,87859,47.0,2007
6,36,9,3,68799,111951,47.0,2012
5,37,12,1,66530,92776,49.0,2009
6,100,14,2,64900,99761,42.0,2005
6,51,7,5,87589,175628,39.0,2007
5,69,12,0,125139,84879,37.0,2006
5,82,8,0,109233,93666,47.0,2012
5,13,17,0,95577,106554,43.0,2012
6,65,25,3,74458,95706,56.0,2011
5,45,5,0,74389,91289,48.0,2012
6,118,2,0,137477,83722,41.0,2007
5,75,11,0,127816,89559,56.0,2008
5,56,1,7,117444,94736,37.0,2011
5,73,6,0,128233,83227,53.0,2007
5,66,17,1,82682,93530,52.0,2010
5,21,6,2,139888,71428,45.0,2011
5,78,4,6,114244,100622,54.0,2008
6,90,2,0,122350,89159,60.0,2008
5,80,8,4,120362,107309,46.0,2004
4,20,85,1,121103,87682,43.0,2012
4,80,31,3,117968,108712,34.0,2005
5,95,34,2,104659,97837,38.0,2005
6,99,2,1,117708,89168,59.0,2006
6,90,17,0,128188,97748,57.0,2007
5,33,1,3,63453,94159,49.0,2007
5,73,12,1,110537,89866,49.0,2005
6,127,18,8,124500,90456,40.0,2006
4,83,158,1,114627,87371,31.0,2011
6,27,8,0,90731,98430,48.0,2011
5,97,1,3,149015,88729,33.0,2010
6,77,7,6,104572,106708,38.0,2006
4,19,65,0,86805,110137,42.0,2009
4,13,41,1,125853,77676,38.0,2007
6,139,1,4,129859,159864,54.0,2005
6,86,6,1,113677,102405,35.0,2005
5,82,2,1,123788,114156,57.0,2005
6,41,31,4,91797,91678,45.0,2006
5,72,2,4,120888,97737,34.0,2009
5,82,11,5,116502,87386,41.0,2005
6,83,4,0,66764,99347,46.0,2012
5,92,14,4,103985,98478,47.0,2005
5,49,25,6,98732,88756,40.0,2006
5,74,10,2,126274,96875,47.0,2004
6,78,4,0,106195,100735,35.0,2010
6,49,9,1,105720,86781,47.0,2007
5,44,29,7,69154,94472,48.0,2009
4,26,13,4,103395,111388,40.0,2007
6,85,2,6,124022,116008,41.0,2004
6,49,5,3,62116,97225,54.0,2010
6,69,5,5,105755,109012,40.0,2005
5,53,8,1,114734,70768,61.0,2012
4,11,67,0,134552,79092,54.0,2008
6,55,10,6,117957,107978,50.0,2006
6,39,14,3,63230,93590,62.0,2004
4,18,34,6,124386,60079,38.0,2008
4,63,22,1,137264,95136,32.0,2009
4,23,181,0,169931,65534,40.0,2010
5,55,13,0,103869,80677,34.0,2011
4,36,24,4,112436,115585,51.0,2012
6,43,8,0,69158,91653,47.0,2006
4,59,2,5,78595,88924,46.0,2010
5,69,4,6,98267,95535,35.0,2012
4,77,27,7,149556,68530,36.0,2011
6,75,21,3,113205,136426,30.0,2008
5,89,14,15,98446,99856,53.0,2005
5,51,1,2,71594,94032,47.0,2011
5,15,65,4,84976,186468,49.0,2007
6,51,10,1,121900,86144,50.0,2006
6,63,13,6,84110,146263,43.0,2005
5,67,3,4,114895,91186,39.0,2005
4,35,58,2,102698,98090,37.0,2005
4,31,3,3,112940,83850,36.0,2009
5,63,4,0,131617,73089,48.0,2011
6,95,1,3,112565,98435,34.0,2007
5,97,13,2,111809,98939,42.0,2005
5,67,9,0,124788,86281,54.0,2007
6,101,2,3,119673,101850,40.0,2005
5,60,21,4,131743,84979,47.0,2010
4,12,38,0,121632,68332,40.0,2011
5,48,3,3,63061,83537,54.0,2010
6,52,3,3,62006,99664,55.0,2011
6,11,9,1,80261,100443,61.0,2009
5,92,2,6,108930,109979,44.0,2006
5,67,1,1,116848,81736,43.0,2006
6,47,6,6,68720,92398,57.0,2006
4,109,46,5,144111,83170,43.0,2006
5,82,12,4,135759,77193,48.0,2006
6,68,21,4,107075,106925,35.0,2006
6,79,16,6,113061,94615,45.0,2012
5,74,11,6,119277,82133,40.0,2012
4,31,113,3,59830,84454,40.0,2006
5,34,8,0,87326,128256,48.0,2012
5,74,3,4,126760,85451,39.0,2007
6,7,7,0,85624,101194,61.0,2012
4,36,93,3,118329,62317,54.0,2009
6,43,9,4,71368,94678,48.0,2012
6,106,36,7,128750,85098,34.0,2009
6,89,3,0,106167,91456,53.0,2008
4,62,104,2,89752,86358,54.0,2010
5,36,11,0,63184,84669,56.0,2009
5,51,12,0,118422,82553,55.0,2012
5,69,5,4,119146,80026,45.0,2006
5,84,1,3,90564,93153,45.0,2005
5,68,5,2,109665,82659,45.0,2005
4,20,3,0,113068,78582,68.0,2007
6,27,89,1,106399,168458,37.0,2011
4,64,2,1,114718,84859,49.0,2007
5,113,7,5,147384,103861,42.0,2005
6,40,2,3,60149,84126,61.0,2007
5,80,2,3,138420,84105,40.0,2006
5,53,41,1,113194,98920,49.0,2008
6,109,1,2,123276,75280,57.0,2009
5,70,4,1,112890,95565,35.0,2010
6,35,9,0,62808,84253,41.0,2009
6,34,29,0,65969,88211,51.0,2011
5,88,27,3,110192,212792,33.0,2009
5,101,10,7,104916,109822,36.0,2009
4,44,15,8,123585,64174,43.0,2007
6,57,1,0,124821,65164,47.0,2007
6,43,11,4,70258,120965,39.0,2010
5,57,4,5,101773,75853,53.0,2010
5,82,11,7,121881,80251,42.0,2007
4,69,23,5,94964,90062,38.0,2009
5,63,44,1,102801,91921,43.0,2010
5,12,230,0,84488,89175,35.0,2012
5,69,17,1,99590,100125,46.0,2010
6,88,4,0,92775,94601,41.0,2007
5,59,3,2,133334,61160,51.0,2012
5,40,10,7,133403,75546,42.0,2006
4,13,86,1,113580,68776,54.0,2008
6,68,11,2,119701,79794,43.0,2005
5,69,3,2,119959,81026,47.0,2010
5,38,4,4,63749,100772,39.0,2012
5,97,18,5,95578,90497,34.0,2006
4,13,34,7,96745,89158,66.0,2005
4,84,3,3,124877,77247,39.0,2010
6,33,79,0,60566,85646,61.0,2008
6,61,25,0,129994,80714,50.0,2007
6,87,17,6,114443,89995,50.0,2007
4,17,13,5,105518,86730,57.0,2008
5,62,3,2,104351,82506,54.0,2006
5,79,2,0,102926,82252,48.0,2007
5,58,85,0,94188,81902,47.0,2008
4,26,48,1,126699,54198,48.0,2007
5,82,2,0,120396,69073,42.0,2011
6,94,7,8,110837,138707,42.0,2006
4,43,15,0,88958,79467,50.0,2012
5,49,9,0,82626,82102,64.0,2005
5,32,11,3,87009,135820,58.0,2007
5,82,4,4,119037,85382,35.0,2011
5,62,22,7,101808,89527,33.0,2010
6,67,18,0,95683,83899,65.0,2012
6,81,30,7,103927,122622,39.0,2009
6,86,7,5,105952,90686,42.0,2005
4,6,102,0,73392,108171,55.0,2007
5,9,69,0,91224,92059,41.0,2010
6,63,4,3,102466,92593,38.0,2009
4,38,66,3,124410,70001,49.0,2004
6,40,2,2,63801,84043,54.0,2010
6,73,9,3,120191,80860,45.0,2005
6,71,15,5,107032,94798,44.0,2007
6,74,1,4,86299,89831,35.0,2009
4,45,103,1,83894,77155,45.0,2012
6,127,1,14,131400,101599,40.0,2008
5,86,4,0,130146,68847,55.0,2007
5,58,29,3,114424,82077,38.0,2009
6,69,3,0,101139,85016,46.0,2011
5,38,43,0,78846,73549,37.0,2006
6,78,19,2,115093,86959,38.0,2008
4,16,68,2,96627,92059,66.0,2005
4,37,163,0,58302,92543,56.0,2007
5,76,5,8,116724,133497,50.0,2007
5,44,2,5,67601,82323,42.0,2009
6,99,3,8,87395,133546,42.0,2005
6,51,14,0,61100,83425,58.0,2012
6,66,5,4,114482,88321,47.0,2008
6,77,5,6,94084,88772,48.0,2006
6,106,2,2,104750,80328,48.0,2007
5,94,1,6,130742,71836,27.0,2012
6,89,27,3,109773,91787,34.0,2011
4,11,37,0,101908,69482,72.0,2012
4,19,17,0,114608,61541,50.0,2008
6,57,7,0,87522,75053,62.0,2011
6,65,18,2,110131,68801,40.0,2011
